"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÁ KONZERVATIVNÍ STRANA","41/41","0",5,"36","38,4","34%","27%",1006
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ A ZLÍN 21 - SPOLEČNĚ PRO ZLÍN","41/41","0",25,"16","45","15%","54%",1050
"NEZÁVISLÍ ZELENÍ PIRÁTI PRO ZLÍN","41/41","0",12,"29","38,1","41%","51%",1066
"STAROSTOVÉ A NEZÁVISLÍ","41/41","0",15,"26","46,1","37%","46%",166
"""NEZÁVISLÍ - ZA OTEVŘENÝ A PROSPERUJÍCÍ ZLÍN""","41/41","0",10,"31","45","34%","44%",401
"KOMUNISTICKÁ STRANA ČECH A MORAVY","41/41","3",0,"17","58","37%","22%",47
"OTEVŘENÁ RADNICE A SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ JIŽNÍ SVAHY ZLÍN","41/41","0",1,"40","47,8","22%","24%",525
"OBČANSKÁ DEMOKRATICKÁ STRANA","41/41","6",0,"25","41,9","27%","49%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","41/41","7",4,"23","47,1","34%","46%",7
"STRANA SVOBODNÝCH OBČANŮ","38/41","0",1,"37","41,3","16%","34%",714
"TOP 09","41/41","0",3,"38","34","27%","27%",721
"STRANA PRÁV OBČANŮ","41/41","0",16,"25","45","17%","44%",724
"ANO 2011","37/41","0",0,"0","40,2","30%","54%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","41/41","0",10,"31","46,8","29%","39%",792
