"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU","40/40","0",4,"36","39,9","40%","20%",1043
"DESÍTKA PRO DOMÁCÍ A PRO PRAHU","40/40","0",19,"21","44,6","22%","42%",1076
"NÁRODNÍ KONGRES - KOALICE DSSS A NÁRODNÍ DEMOKRACIE","13/40","0",0,"0","49,2","23%","8%",1087
"DOMOV","40/40","0",0,"0","43,6","50%","8%",155
"KOMUNISTICKÁ STRANA ČECH A MORAVY","40/40","1",0,"21","60,9","42%","28%",47
"KOMUNISTICKÁ STRANA ČECH A MORAVY","40/40","0",0,"21","60,9","42%","28%",47
"STRANA ZELENÝCH","40/40","1",0,"29","42,6","52%","65%",5
"STRANA ZELENÝCH","40/40","0",0,"29","42,6","52%","65%",5
"OBČANSKÁ DEMOKRATICKÁ STRANA","40/40","2",0,"21","47,8","25%","42%",53
"OBČANSKÁ DEMOKRATICKÁ STRANA","40/40","3",0,"21","47,8","25%","42%",53
"VLASTA - KOALICE OBČANŮ PRAHY 10, KDU-ČSL A LES","40/40","0",16,"24","46,5","38%","65%",535
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","40/40","2",1,"27","51,1","38%","25%",7
"STRANA SVOBODNÝCH OBČANŮ","40/40","0",1,"39","41,2","12%","57%",714
"TOP 09","40/40","3",0,"24","41","32%","60%",721
"TOP 09","40/40","2",0,"24","41","32%","60%",721
"LEV 21 - NÁRODNÍ SOCIALISTÉ","29/40","0",1,"28","49,5","59%","10%",764
"ANO 2011","40/40","0",2,"38","49,1","48%","52%",768
