"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI - ZA BEZPEČNÉ NOVÉ SEDLO!","1/15","0",0,"0","20","0%","0%",1072
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","1",0,"9","53,8","40%","0%",47
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","1",1,"10","38,5","33%","0%",7
"TOP 09","15/15","2",3,"4","41,7","27%","27%",721
"NOVOSEDLÁCI","15/15","0",8,"7","45,3","47%","0%",901
"NOVOSEDELŠTÍ PATRIOTI","15/15","1",7,"4","47,8","33%","33%",902
"STŘED MĚSTA A LOUČKY","15/15","0",5,"10","50,7","67%","7%",903
"NOVÝ KURZ","15/15","0",6,"9","47,6","40%","7%",904
"ZA NOVÉ CÍLE","15/15","0",1,"14","39,3","53%","0%",905
"SPORTOVCI MĚSTU","15/15","0",5,"10","43","13%","0%",906
"""ZA ZDRAVÝ ROZUM""","15/15","0",2,"13","40,7","33%","20%",907
"HORNICKÝ SPOLEK APOLLONIA NOVÉ SEDLO","14/15","0",3,"11","34,6","50%","0%",908
