"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","25/25","3",0,"12","51,6","40%","44%",1
"KONZERVATIVNÍ STRANA","1/25","0",0,"0","46","100%","0%",24
"""A CO BRNO?""","25/25","0",1,"24","43,8","28%","24%",463
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","2",0,"15","62,3","44%","28%",47
"STRANA ZELENÝCH","25/25","2",0,"17","42,5","40%","56%",5
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","6",0,"8","53,9","28%","52%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","8",0,"13","49,4","24%","72%",7
"STRANA SVOBODNÝCH OBČANŮ","10/25","0",0,"9","35","20%","60%",714
"TOP 09","25/25","4",0,"12","48,2","40%","60%",721
"ANO 2011","25/25","0",5,"20","47,2","28%","48%",768
