"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÁ KONZERVATIVNÍ STRANA","22/25","0",3,"19","49,5","59%","36%",1006
"RESTART 2014","25/25","0",0,"0","34,1","36%","16%",1052
"STAROSTOVÉ A NEZÁVISLÍ, KDU-ČSL, INICIATIVA OBČANŮ - MY, CO TADY ŽIJEME","25/25","0",13,"12","49,6","40%","68%",1104
"DOMOV","25/25","0",0,"0","48,8","44%","20%",155
"STRANA OBČANSKÉ SEBEOBRANY","25/25","0",10,"15","56,6","64%","44%",176
"ZELENÁ PRO JEDNIČKU","25/25","0",10,"15","48,6","32%","72%",364
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","9",1,"9","48,7","32%","48%",53
"""SDRUŽENÍ POLITICKÝCH STRAN LIBERÁLNĚ EKOLOGICKÉ STRANY (LES), ČESKÉ PIRÁTSKÉ STRANY A NEZÁVISLÝCH KANDIDÁTŮ""","25/25","0",3,"22","42,3","52%","36%",552
"DEMOKRATÉ JANA KASLA","25/25","0",11,"14","52,4","24%","44%",561
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","6",0,"10","54,9","36%","52%",7
"STRANA SVOBODNÝCH OBČANŮ","25/25","0",1,"24","48,7","12%","28%",714
"TOP 09","25/25","13",2,"9","47,6","20%","60%",721
"KONZERVATIVNÍ ALIANCE 2014","25/25","0",3,"22","51","36%","60%",749
"ANO 2011","25/25","0",0,"0","45,3","32%","72%",768
"PRO PRAHU","25/25","0",0,"0","39,7","28%","60%",791
