"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","17/21","1",0,"9","52,2","53%","12%",1
"VOLBA PRO MĚSTO","21/21","0",10,"11","51,3","29%","24%",113
"MĚSTO LIDEM","21/21","0",5,"16","43,5","57%","29%",147
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","3",0,"6","60,6","48%","5%",47
"VOLBY 94 - 2014","21/21","0",13,"8","52,5","14%","71%",470
"""MĚSTO SOBĚ""","21/21","0",10,"11","50","52%","43%",476
"SDRUŽENÍ ML 100","21/21","0",6,"15","49","24%","43%",493
"ZMĚNA PRO MARIÁNSKÉ LÁZNĚ","21/21","0",8,"13","52,9","14%","57%",510
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","4",0,"7","56,1","14%","33%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","4",1,"10","52,9","33%","43%",7
"ČESKÁ PIRÁTSKÁ STRANA","21/21","0",1,"17","31,5","24%","62%",720
"TOP 09","21/21","1",0,"17","46","29%","19%",721
"ANO 2011","21/21","0",2,"19","41,9","14%","10%",768
